# Crystal Eye Ground Track  |  i=5  |  h=550 km
# Inizio missione: 2031-01-01 00:00:00 UTC
# Passo temporale: 8 s  |  Durata: 95.65 min (1 orbita)
#
# Colonne:
#   UTC_datetime       : timestamp ISO 8601
#   X_ECI_km           : posizione ECI asse X (km)
#   Y_ECI_km           : posizione ECI asse Y (km)
#   Z_ECI_km           : posizione ECI asse Z (km)
#   X_ECEF_km          : posizione ECEF asse X (km)
#   Y_ECEF_km          : posizione ECEF asse Y (km)
#   Z_ECEF_km          : posizione ECEF asse Z (km)
#   lat_deg            : latitudine geocentrica (gradi)
#   lon_deg            : longitudine (gradi)
#   alt_km             : altitudine sul geoide (km)
#
UTC_datetime              X_ECI_km      Y_ECI_km      Z_ECI_km     X_ECEF_km     Y_ECEF_km     Z_ECEF_km     lat_deg     lon_deg      alt_km
2031-01-01T00:10:56     -4536.4650     5221.2237      397.3389    -4281.6070     5432.1757      397.3389      3.2878    128.2450    550.0000
2031-01-01T00:11:04     -4581.7854     5181.1934      401.3059    -4325.6420     5396.8828      401.3059      3.3207    128.7124    550.0000
2031-01-01T00:11:12     -4626.7553     5140.7669      405.2421    -4369.3890     5361.2301      405.2421      3.3533    129.1799    550.0000
2031-01-01T00:11:20     -4671.3712     5099.9470      409.1473    -4412.8451     5325.2198      409.1473      3.3856    129.6475    550.0000
2031-01-01T00:11:28     -4715.6297     5058.7369      413.0210    -4456.0072     5288.8546      413.0210      3.4177    130.1151    550.0000
2031-01-01T00:11:36     -4759.5275     5017.1399      416.8631    -4498.8727     5252.1367      416.8631      3.4496    130.5827    550.0000
2031-01-01T00:11:44     -4803.0612     4975.1590      420.6732    -4541.4385     5215.0686      420.6732      3.4811    131.0503    550.0000
2031-01-01T00:11:52     -4846.2274     4932.7975      424.4510    -4583.7019     5177.6528      424.4510      3.5124    131.5180    550.0000
2031-01-01T00:12:00     -4889.0229     4890.0586      428.1962    -4625.6600     5139.8917      428.1962      3.5435    131.9857    550.0000
2031-01-01T00:12:08     -4931.4443     4846.9456      431.9086    -4667.3101     5101.7880      431.9086      3.5742    132.4535    550.0000
2031-01-01T00:12:16     -4973.4885     4803.4617      435.5879    -4708.6494     5063.3441      435.5879      3.6047    132.9212    550.0000
2031-01-01T00:12:24     -5015.1522     4759.6104      439.2338    -4749.6751     5024.5627      439.2338      3.6349    133.3891    550.0000
2031-01-01T00:12:32     -5056.4322     4715.3950      442.8459    -4790.3845     4985.4462      442.8459      3.6649    133.8569    550.0000
2031-01-01T00:12:40     -5097.3254     4670.8188      446.4241    -4830.7749     4945.9973      446.4241      3.6945    134.3248    550.0000
2031-01-01T00:12:48     -5137.8287     4625.8853      449.9680    -4870.8436     4906.2187      449.9680      3.7239    134.7927    550.0000
2031-01-01T00:12:56     -5177.9388     4580.5979      453.4775    -4910.5879     4866.1129      453.4775      3.7530    135.2606    550.0000
2031-01-01T00:13:04     -5217.6529     4534.9601      456.9521    -4950.0052     4825.6827      456.9521      3.7818    135.7286    550.0000
2031-01-01T00:13:12     -5256.9678     4488.9753      460.3917    -4989.0928     4784.9307      460.3917      3.8103    136.1966    550.0000
2031-01-01T00:13:20     -5295.8805     4442.6470      463.7959    -5027.8482     4743.8597      463.7959      3.8385    136.6647    550.0000
2031-01-01T00:13:28     -5334.3881     4395.9789      467.1646    -5066.2688     4702.4725      467.1646      3.8664    137.1328    550.0000
2031-01-01T00:13:36     -5372.4875     4348.9745      470.4975    -5104.3520     4660.7717      470.4975      3.8940    137.6009    550.0000
2031-01-01T00:13:44     -5410.1760     4301.6374      473.7942    -5142.0952     4618.7601      473.7942      3.9214    138.0690    550.0000
2031-01-01T00:13:52     -5447.4506     4253.9712      477.0546    -5179.4961     4576.4406      477.0546      3.9484    138.5372    550.0000
2031-01-01T00:14:00     -5484.3084     4205.9795      480.2784    -5216.5520     4533.8160      480.2784      3.9751    139.0054    550.0000
2031-01-01T00:14:08     -5520.7466     4157.6661      483.4654    -5253.2605     4490.8891      483.4654      4.0015    139.4736    550.0000
2031-01-01T00:14:16     -5556.7626     4109.0346      486.6153    -5289.6191     4447.6628      486.6153      4.0277    139.9419    550.0000
2031-01-01T00:14:24     -5592.3534     4060.0887      489.7278    -5325.6255     4404.1400      489.7278      4.0535    140.4102    550.0000
2031-01-01T00:14:32     -5627.5163     4010.8322      492.8028    -5361.2773     4360.3235      492.8028      4.0790    140.8786    550.0000
2031-01-01T00:14:40     -5662.2488     3961.2689      495.8400    -5396.5720     4316.2163      495.8400      4.1041    141.3469    550.0000
2031-01-01T00:14:48     -5696.5481     3911.4025      498.8391    -5431.5073     4271.8214      498.8391      4.1290    141.8153    550.0000
2031-01-01T00:14:56     -5730.4115     3861.2368      501.8000    -5466.0809     4227.1416      501.8000      4.1536    142.2838    550.0000
2031-01-01T00:15:04     -5763.8366     3810.7758      504.7223    -5500.2905     4182.1800      504.7223      4.1778    142.7522    550.0000
2031-01-01T00:15:12     -5796.8208     3760.0232      507.6060    -5534.1338     4136.9396      507.6060      4.2017    143.2207    550.0000
2031-01-01T00:15:20     -5829.3614     3708.9830      510.4507    -5567.6085     4091.4233      510.4507      4.2253    143.6893    550.0000
